"Race","Distance(km)","Climb (m)","Mens Time (min)","Womens Time (min)"
"Grandtully Hill Race",6.4,280,"26.716667","31.183334"
"Greenmantle Dash",3.2,200,"15.100000","19.783333"
"Half Nevis Race",9.6,670,"47.650000","61.850000"
"Hunters Bog Trot",6.5,240,"25.333334","30.350000"
"Isle of Jura Fell Race",27.7,2420,"186.98333","220.55000"
"Isle of Mull Fell Race",15,1500,"106.03333","123.95000"
"Kaim Hill Race",5.5,380,"25.866667","32.400000"
"Kilpatricks Hill Race",9.6,426,"43.116667","49.433334"
"Kinnoull Hill Race",6.4,240,"23.233333","27.150000"
"Knock Hill Race, Crieff",8,210,"28.516667","35.266667"
"Knockfarrel Hill Race",8,365,"37.400000","43.333334"
"Lairig Ghru Race",42,640,"184.41667","212.63333"
"Lairig Mor",22,520,"86.216666","99.433333"
"Largo Law Hill Race",10.8,330,"44.883333","55.650000"
"Lee Pen Hill Race",4,350,"NA","NA"
"Loch Lochy Munros",23,1380,"126.60000","166.26667"
"Lomonds of Fife Hill Race",17.7,1040,"89.366666","104.61667"
"Maddy Moss Hill Race",10,710,"47.650000","53.166666"
"Manor Water Hill Race",15.2,670,"68.233333","75.633333"
"Meall a 'Buachaille",10,610,"50.616667","55.800000"
"Melantee Hill Race",5,480,"27.800001","33.733333"
"Merrick Hill Race",13.6,1000,"79.800000","98.416666"
"Moffat Chase",25.7,1585,"NA","NA"
"Morvan Hill Race",8,640,"44.066667","49.783333"
"Normans Law Hill Race",8,215,"27.850000","34.400000"
"Ochil 2000s",28,1500,"167.73333","171.55000"
"Off Beat Bikes Aonach Mor Uphill",4,610,"21.666666","24.683334"
"Peebles Gypsy Glen Hill Race",8,305,"32.383333","36.466667"
"Pentland Skyline",25,1890,"142.66667","162.48333"
"Red Moss Revolution",9,220,"35.450001","39.566667"
"Saughhill Race",4.5,265,"21.633333","29.100000"
"Scolty Hill Race",7.2,396,"33.083333","37.633333"
"Screel Hill Race",6.4,400,"27.533333","32.616667"
"Slioch Horseshoe",20,1180,"130.38333","148.66667"
"South Black Hill Race",5,350,"27.383334","40.233334"
"Stuc a 'Chroin Hill Race",22,1500,"119.36667","138.06667"
"Tap o 'Noth Hill Race",8.8,370,"33.933334","41.949999"
"The Law Breaker",5.3,600,"32.850000","40.216667"
"Tinto Hill Race",7,457,"29.966666","33.716667"
"Tomnabat Hill Race",5.6,340,"29.150001","37.533334"
"Traprain Law Race",10.4,200,"37.433333","41.216666"
"Turnhouse Hill Race",5,350,"25.583334","30.683333"
"Two Breweries Hill Race",29,1500,"153.95000","173.93333"
"Whangie Whizz Hill Race",6.8,240,"26.533333","30.733334"
"White Tops Hill Race",10,270,"31.683334","36.566667"
"Yetholm Hill Race",12.8,762,"62.033334","77.049999"
