"","Id","Age_Cohort","Age","Gender","Expenditures","Ethnicity"
"62",16052,"13-17",16,"Female",3212,"Hispanic"
"63",16306,"13-17",15,"Female",2029,"White not Hispanic"
"64",16440,"22-50",22,"Male",37727,"White not Hispanic"
"65",16515,"18-21",20,"Male",11998,"Hispanic"
"66",16525,"22-50",45,"Male",50304,"Hispanic"
"67",16981,"0-5",5,"Female",1130,"Hispanic"
"68",17191,"22-50",24,"Female",45412,"White not Hispanic"
"69",17276,"22-50",32,"Male",38310,"Hispanic"
"70",17354,"13-17",13,"Female",3638,"Hispanic"
"71",17361,"51 +",74,"Female",54616,"Asian"
"72",17456,"22-50",26,"Female",30504,"Asian"
"73",17604,"18-21",19,"Male",7621,"Hispanic"
"74",17605,"18-21",18,"Male",13677,"White not Hispanic"
"75",17744,"6-12",6,"Female",1423,"Hispanic"
"76",17799,"13-17",17,"Female",4395,"Hispanic"
"77",18015,"22-50",29,"Male",38236,"White not Hispanic"
"78",18057,"13-17",17,"Male",6798,"White not Hispanic"
"79",18080,"13-17",13,"Female",4052,"White not Hispanic"
"80",18095,"22-50",48,"Female",49424,"White not Hispanic"
"81",18127,"22-50",34,"Female",39521,"Hispanic"
"82",18223,"6-12",9,"Female",2471,"Asian"
"83",18262,"18-21",18,"Male",15018,"Hispanic"
"84",18313,"13-17",16,"Male",2924,"White not Hispanic"
"85",18383,"0-5",0,"Male",1149,"Multi Race"
"86",18421,"13-17",15,"Female",4525,"Hispanic"
"87",18482,"13-17",16,"Male",3796,"Hispanic"
"88",18492,"18-21",18,"Female",8730,"Black"
"89",18655,"22-50",28,"Male",37247,"Black"
"90",18656,"22-50",28,"Female",31027,"White not Hispanic"
"91",18671,"22-50",22,"Male",27364,"White not Hispanic"
"92",18749,"22-50",27,"Female",30998,"White not Hispanic"
"93",18867,"51 +",66,"Female",49851,"Asian"
"94",18894,"0-5",3,"Male",1057,"White not Hispanic"
"95",19107,"22-50",22,"Male",42623,"White not Hispanic"
"96",19147,"0-5",1,"Male",1363,"Hispanic"
"97",19148,"13-17",13,"Female",5324,"Black"
"98",19228,"22-50",22,"Male",46513,"Black"
"99",19247,"13-17",15,"Female",2521,"White not Hispanic"
"100",19250,"51 +",94,"Female",60871,"Hispanic"
"101",19251,"22-50",41,"Female",42139,"White not Hispanic"
"102",19290,"0-5",5,"Male",1713,"Hispanic"
"103",19373,"6-12",6,"Female",1814,"Asian"
"104",19412,"51 +",60,"Female",57702,"White not Hispanic"
"105",19510,"22-50",23,"Female",36607,"White not Hispanic"
"106",19517,"22-50",36,"Male",29144,"White not Hispanic"
"107",19571,"18-21",21,"Female",7193,"White not Hispanic"
"108",19661,"22-50",23,"Female",49028,"Hispanic"
"109",19662,"51 +",80,"Female",54309,"White not Hispanic"
"110",19663,"6-12",6,"Female",987,"White not Hispanic"
"111",19825,"22-50",25,"Female",41107,"White not Hispanic"
"112",19917,"0-5",0,"Male",904,"White not Hispanic"
"113",20057,"51 +",65,"Female",56752,"White not Hispanic"
"114",20073,"0-5",4,"Female",1977,"Hispanic"
"115",20380,"6-12",12,"Female",3450,"Hispanic"
"116",20641,"18-21",19,"Male",10716,"White not Hispanic"
"117",20810,"18-21",20,"Male",9161,"Hispanic"
"118",20832,"6-12",12,"Female",3007,"Hispanic"
"119",20872,"22-50",33,"Male",34558,"White not Hispanic"
"120",20876,"13-17",15,"Male",3269,"Hispanic"
"121",20918,"22-50",24,"Female",40980,"Hispanic"
"122",20976,"0-5",4,"Male",1196,"Hispanic"
"123",20984,"18-21",18,"Male",4814,"Black"
"124",21140,"0-5",5,"Male",1997,"White not Hispanic"
"125",21158,"22-50",24,"Female",51149,"Hispanic"
"126",21167,"18-21",18,"Female",11038,"Hispanic"
"127",21296,"18-21",21,"Male",3988,"Asian"
"128",21305,"18-21",18,"Female",12306,"White not Hispanic"
"129",21351,"18-21",19,"Female",12649,"Hispanic"
"130",21503,"22-50",24,"Male",37416,"White not Hispanic"
"131",21585,"6-12",11,"Female",2664,"Hispanic"
"132",21591,"51 +",66,"Female",59926,"Hispanic"
"133",21742,"18-21",20,"Female",10696,"Asian"
"134",22056,"18-21",19,"Male",9972,"Hispanic"
"135",22124,"13-17",14,"Female",5920,"Hispanic"
"136",22125,"0-5",5,"Male",2549,"Hispanic"
"137",22446,"13-17",17,"Male",2686,"Hispanic"
"138",22534,"22-50",34,"Female",40277,"Hispanic"
"139",22541,"22-50",27,"Female",42702,"White not Hispanic"
"140",22682,"22-50",37,"Female",42455,"White not Hispanic"
"141",22697,"13-17",13,"Male",4097,"Hispanic"
"142",22700,"0-5",4,"Male",1957,"Hispanic"
"143",22764,"0-5",5,"Male",1646,"Hispanic"
"144",22879,"0-5",4,"Male",1525,"Hispanic"
"145",22964,"0-5",4,"Male",1294,"Hispanic"
"146",22988,"13-17",16,"Male",4664,"Multi Race"
"147",23032,"22-50",22,"Male",43292,"White not Hispanic"
"148",23450,"13-17",16,"Female",1432,"Asian"
"149",23493,"0-5",0,"Male",1435,"Hispanic"
"150",23505,"0-5",4,"Male",1631,"White not Hispanic"
"151",23559,"18-21",20,"Male",8687,"Black"
"152",23617,"18-21",19,"Female",8096,"Hispanic"
"153",23651,"0-5",3,"Male",1123,"Hispanic"
"154",23861,"51 +",77,"Female",55015,"Asian"
"155",23890,"0-5",4,"Male",1644,"White not Hispanic"
"156",23915,"13-17",17,"Female",3678,"Hispanic"
"157",24042,"18-21",18,"Male",8999,"White not Hispanic"
"158",24078,"13-17",16,"Male",1740,"Hispanic"
"159",24128,"18-21",21,"Female",15176,"Hispanic"
"160",24171,"22-50",35,"Male",27417,"White not Hispanic"
"161",24270,"18-21",18,"Female",9078,"White not Hispanic"
"162",24341,"6-12",9,"Female",1963,"Hispanic"
"163",24510,"13-17",15,"Male",4670,"Hispanic"
"164",24545,"0-5",4,"Male",2553,"White not Hispanic"
"165",24617,"13-17",14,"Male",3394,"Hispanic"
"166",24635,"0-5",0,"Female",995,"Hispanic"
"167",24731,"0-5",0,"Female",1068,"White not Hispanic"
"168",24786,"13-17",15,"Male",4818,"White not Hispanic"
"169",24838,"0-5",2,"Male",650,"White not Hispanic"
"170",24847,"18-21",21,"Female",15179,"White not Hispanic"
"171",24850,"18-21",21,"Female",16237,"Hispanic"
"172",24895,"22-50",27,"Female",47242,"White not Hispanic"
"173",24959,"51 +",82,"Female",58922,"White not Hispanic"
"174",25000,"18-21",21,"Male",9592,"Hispanic"
"175",25184,"18-21",21,"Male",10008,"White not Hispanic"
"176",25281,"22-50",28,"Female",42346,"White not Hispanic"
"177",25300,"6-12",6,"Female",2119,"Hispanic"
"178",25321,"22-50",40,"Male",42840,"White not Hispanic"
"179",25370,"18-21",19,"Female",10292,"Hispanic"
"180",25457,"13-17",16,"Female",3501,"Hispanic"
"181",25575,"22-50",23,"Male",40992,"White not Hispanic"
"182",25613,"0-5",0,"Male",741,"Hispanic"
"183",25649,"22-50",42,"Male",37916,"White not Hispanic"
"184",25743,"6-12",11,"Female",1339,"White not Hispanic"
"185",25747,"51 +",74,"Female",54266,"White not Hispanic"
"186",25765,"0-5",4,"Male",1016,"Hispanic"
"187",26071,"6-12",6,"Female",1582,"Hispanic"
"188",26099,"18-21",20,"Male",13345,"Asian"
"189",26169,"22-50",33,"Female",47204,"White not Hispanic"
"190",26423,"13-17",17,"Male",4723,"Hispanic"
"191",26427,"13-17",13,"Male",2460,"Hispanic"
"192",26437,"0-5",0,"Male",2296,"Multi Race"
"193",26457,"13-17",16,"Female",5718,"Hispanic"
"194",26648,"18-21",21,"Female",7571,"Asian"
"195",27029,"18-21",18,"Male",7207,"Asian"
"196",27031,"0-5",4,"Male",1028,"Hispanic"
"197",27150,"6-12",12,"Female",3141,"Hispanic"
"198",27311,"13-17",17,"Male",4556,"White not Hispanic"
"199",27356,"22-50",25,"Female",49142,"White not Hispanic"
"200",27484,"6-12",11,"Male",3585,"Hispanic"
"201",27547,"6-12",7,"Female",2039,"Hispanic"
"202",27561,"6-12",12,"Female",2431,"White not Hispanic"
"203",27824,"6-12",11,"Male",1024,"White not Hispanic"
"204",27921,"22-50",22,"Female",43858,"Hispanic"
"205",28013,"0-5",1,"Male",762,"Hispanic"
"206",28053,"51 +",62,"Female",49749,"White not Hispanic"
"207",28066,"18-21",20,"Male",7081,"Hispanic"
"208",28083,"0-5",5,"Female",2291,"Hispanic"
"209",28085,"6-12",9,"Female",3374,"White not Hispanic"
"210",28189,"0-5",4,"Male",2359,"Hispanic"
"211",28384,"22-50",33,"Female",40809,"Hispanic"
"212",28469,"0-5",4,"Male",2211,"Hispanic"
"213",28502,"18-21",19,"Male",11527,"Hispanic"
"214",28514,"13-17",15,"Female",3959,"Hispanic"
"215",28728,"18-21",20,"Male",12854,"White not Hispanic"
"216",28948,"0-5",1,"Male",966,"Hispanic"
"217",29038,"18-21",21,"Male",7339,"Hispanic"
"218",29193,"22-50",24,"Male",46703,"White not Hispanic"
"219",29411,"6-12",8,"Female",3378,"Hispanic"
"220",29440,"6-12",8,"Male",2807,"White not Hispanic"
"221",29447,"22-50",30,"Male",46246,"White not Hispanic"
"222",29458,"13-17",17,"Male",4513,"Hispanic"
"223",29506,"51 +",56,"Female",48215,"White not Hispanic"
"224",29574,"13-17",16,"Male",2357,"White not Hispanic"
"225",29795,"18-21",20,"Male",9597,"White not Hispanic"
"226",29804,"13-17",14,"Male",386,"Asian"
"227",29840,"6-12",7,"Female",1473,"Hispanic"
"228",29885,"13-17",16,"Male",4112,"Hispanic"
"229",29902,"18-21",19,"Female",8530,"Asian"
"230",29914,"0-5",5,"Male",1315,"Asian"
"231",30012,"13-17",14,"Male",4653,"Hispanic"
"232",30234,"51 +",78,"Female",55430,"American Indian"
"233",30385,"6-12",9,"Male",722,"White not Hispanic"
"234",30438,"18-21",19,"Female",7667,"Hispanic"
"235",30481,"18-21",20,"Male",12587,"Hispanic"
"236",30517,"6-12",7,"Male",1725,"Asian"
"237",30617,"0-5",4,"Female",791,"White not Hispanic"
"238",30673,"6-12",10,"Female",2189,"White not Hispanic"
"239",30689,"0-5",3,"Male",668,"Hispanic"
"240",30780,"18-21",20,"Female",6218,"Hispanic"
"241",30909,"13-17",17,"Male",2015,"Hispanic"
"242",31063,"18-21",21,"Male",8948,"Hispanic"
"243",31163,"51 +",71,"Female",52472,"White not Hispanic"
"244",31168,"6-12",11,"Female",2918,"Multi Race"
"245",31277,"0-5",2,"Male",561,"Hispanic"
"246",31307,"51 +",88,"Female",54655,"White not Hispanic"
"247",31437,"51 +",70,"Female",59622,"Hispanic"
"248",31632,"22-50",23,"Male",32344,"Asian"
"249",31642,"6-12",11,"Female",3335,"White not Hispanic"
"250",31658,"51 +",60,"Female",46873,"Black"
"251",31859,"6-12",10,"Male",2380,"White not Hispanic"
"252",31910,"13-17",17,"Female",4921,"Hispanic"
"253",31919,"6-12",10,"Male",1455,"White not Hispanic"
"254",31960,"22-50",25,"Male",38730,"White not Hispanic"
"255",31973,"22-50",38,"Female",35088,"Hispanic"
"256",32161,"6-12",11,"Female",2059,"Asian"
"257",32186,"13-17",16,"Female",4054,"Asian"
"258",32326,"6-12",7,"Male",1212,"Black"
"259",32395,"18-21",19,"Male",12178,"White not Hispanic"
"260",32398,"6-12",11,"Male",1084,"Hispanic"
"261",32519,"13-17",15,"Female",3529,"Asian"
"262",32604,"18-21",20,"Female",11775,"White not Hispanic"
"263",32664,"22-50",24,"Female",36279,"White not Hispanic"
"264",32745,"22-50",27,"Female",47021,"White not Hispanic"
"265",32781,"6-12",8,"Male",641,"Asian"
"266",32893,"18-21",20,"Male",6362,"White not Hispanic"
"267",33032,"6-12",11,"Female",3695,"Hispanic"
"268",33305,"0-5",4,"Male",1437,"Asian"
"269",33339,"6-12",11,"Male",1582,"White not Hispanic"
"270",33360,"22-50",25,"Female",41984,"Asian"
"271",33375,"0-5",2,"Male",1347,"White not Hispanic"
"272",33464,"18-21",18,"Female",13593,"White not Hispanic"
"273",33509,"0-5",1,"Female",1767,"Hispanic"
"274",33551,"6-12",12,"Female",2880,"White not Hispanic"
"275",33643,"13-17",13,"Male",4483,"Asian"
"276",33886,"13-17",13,"Male",4003,"White not Hispanic"
"277",34146,"51 +",69,"Male",67884,"White not Hispanic"
"278",34278,"22-50",23,"Female",46590,"White not Hispanic"
"279",34522,"22-50",31,"Male",39007,"White not Hispanic"
"280",34681,"18-21",21,"Male",10046,"White not Hispanic"
"281",34751,"6-12",9,"Male",2695,"Asian"
"282",34763,"51 +",85,"Male",64898,"White not Hispanic"
"283",34821,"22-50",26,"Female",36738,"Hispanic"
"284",34983,"22-50",27,"Male",34394,"White not Hispanic"
"285",34997,"51 +",68,"Male",49502,"Hispanic"
"286",35066,"13-17",13,"Male",4554,"Black"
"287",35093,"6-12",9,"Male",1824,"Asian"
"288",35298,"22-50",30,"Female",43134,"White not Hispanic"
"289",35360,"6-12",10,"Female",1622,"Multi Race"
"290",35503,"13-17",13,"Male",3522,"Hispanic"
"291",35590,"6-12",8,"Male",2776,"Hispanic"
"292",35630,"18-21",18,"Female",14578,"White not Hispanic"
"293",35656,"18-21",21,"Male",10150,"Hispanic"
"294",35666,"18-21",20,"Female",9207,"White not Hispanic"
"295",35684,"18-21",20,"Female",7605,"Hispanic"
"296",35799,"6-12",8,"Male",2954,"Hispanic"
"297",35970,"13-17",13,"Male",2797,"Black"
"298",36123,"51 +",59,"Male",42739,"Asian"
"299",36179,"13-17",15,"Female",2900,"Asian"
"300",36391,"0-5",1,"Female",384,"White not Hispanic"
"301",36459,"18-21",21,"Female",9504,"Asian"
"302",36576,"22-50",27,"Female",38031,"Hispanic"
"303",36578,"18-21",19,"Male",7083,"White not Hispanic"
"304",36720,"6-12",9,"Male",2877,"White not Hispanic"
"305",36802,"6-12",6,"Male",1173,"Hispanic"
"306",37075,"18-21",21,"Female",12083,"Hispanic"
"307",37287,"18-21",19,"Male",3157,"White not Hispanic"
"308",37297,"13-17",15,"Male",4533,"Hispanic"
"309",37335,"13-17",17,"Female",3694,"White not Hispanic"
"310",37415,"18-21",18,"Female",8299,"White not Hispanic"
"311",37454,"51 +",76,"Male",62097,"Hispanic"
"312",37524,"18-21",18,"Male",11935,"Hispanic"
"313",37694,"18-21",20,"Male",11034,"Hispanic"
"314",37731,"18-21",19,"Male",12481,"White not Hispanic"
"315",37846,"18-21",18,"Female",9200,"Asian"
"316",38017,"18-21",20,"Female",10294,"Hispanic"
"317",38104,"18-21",21,"Male",11668,"Asian"
"318",38121,"22-50",37,"Female",37948,"White not Hispanic"
"319",38584,"13-17",14,"Female",5530,"White not Hispanic"
"320",38732,"13-17",16,"Male",3909,"Black"
"321",38889,"13-17",16,"Male",5041,"Asian"
"322",38975,"22-50",24,"Female",39345,"White not Hispanic"
"323",39060,"18-21",18,"Female",16310,"Hispanic"
"324",39095,"18-21",20,"Female",6272,"White not Hispanic"
"325",39131,"0-5",0,"Female",685,"White not Hispanic"
"326",39134,"6-12",9,"Male",2490,"Hispanic"
"327",39287,"51 +",59,"Female",44734,"White not Hispanic"
"328",39672,"51 +",54,"Female",52833,"White not Hispanic"
"329",39767,"6-12",10,"Female",2341,"Black"
"330",39795,"0-5",5,"Female",1088,"White not Hispanic"
"331",39942,"13-17",14,"Male",3399,"Multi Race"
"332",39999,"18-21",21,"Female",11811,"Hispanic"
"333",40105,"13-17",17,"Male",3945,"Hispanic"
"334",40159,"51 +",73,"Female",60198,"Asian"
"335",40277,"6-12",9,"Female",2781,"Hispanic"
"336",40313,"0-5",4,"Female",374,"Asian"
"337",40409,"22-50",30,"Male",36469,"White not Hispanic"
"338",40412,"6-12",12,"Male",2269,"White not Hispanic"
"339",40847,"18-21",21,"Female",10973,"White not Hispanic"
"340",40892,"13-17",13,"Male",1597,"Hispanic"
"341",40952,"22-50",25,"Female",48684,"Hispanic"
"342",40987,"13-17",14,"Female",2366,"White not Hispanic"
"343",41163,"22-50",32,"Female",45017,"White not Hispanic"
"344",41176,"22-50",32,"Male",43545,"Black"
"345",41831,"6-12",7,"Male",1645,"White not Hispanic"
"346",41850,"13-17",13,"Male",4975,"Hispanic"
"347",41968,"13-17",14,"Female",3257,"Hispanic"
"348",42216,"18-21",18,"Male",7878,"Asian"
"349",42229,"13-17",16,"Female",3977,"White not Hispanic"
"350",42262,"6-12",6,"Male",2247,"Hispanic"
"351",42265,"13-17",16,"Female",4215,"White not Hispanic"
"352",42348,"51 +",74,"Male",52041,"White not Hispanic"
"353",42489,"6-12",9,"Male",1758,"Hispanic"
"354",42590,"22-50",24,"Male",51392,"Hispanic"
"355",42593,"0-5",0,"Female",1398,"Black"
"356",42657,"51 +",86,"Male",60452,"White not Hispanic"
"357",42732,"13-17",17,"Female",4495,"Hispanic"
"358",42804,"13-17",15,"Female",2744,"Hispanic"
"359",42905,"51 +",74,"Female",57760,"White not Hispanic"
"360",43039,"13-17",16,"Male",3561,"Hispanic"
"361",43188,"18-21",21,"Female",10063,"White not Hispanic"
"362",43245,"6-12",11,"Female",2906,"Hispanic"
"363",43291,"6-12",11,"Male",2140,"Multi Race"
"364",43308,"22-50",34,"Female",46325,"White not Hispanic"
"365",43455,"51 +",57,"Male",48363,"White not Hispanic"
"366",43478,"13-17",16,"Female",5637,"Hispanic"
"367",43516,"13-17",16,"Female",3740,"White not Hispanic"
"368",43574,"13-17",13,"Male",4014,"Asian"
"369",43586,"6-12",8,"Female",2904,"Hispanic"
"370",43735,"6-12",9,"Female",2854,"White not Hispanic"
"371",43762,"22-50",28,"Female",39147,"Hispanic"
"372",43767,"13-17",15,"Female",4036,"White not Hispanic"
"373",43768,"6-12",12,"Male",3196,"Asian"
"374",43881,"13-17",17,"Female",3677,"White not Hispanic"
"375",43984,"18-21",20,"Male",6397,"Hispanic"
"376",43990,"22-50",27,"Female",48745,"White not Hispanic"
"377",44297,"18-21",20,"Male",7446,"Hispanic"
"378",44312,"6-12",12,"Male",1109,"White not Hispanic"
"379",44401,"13-17",17,"Male",5163,"Hispanic"
"380",44451,"51 +",67,"Male",52243,"Hispanic"
"381",44613,"22-50",26,"Male",40637,"White not Hispanic"
"382",44669,"13-17",14,"Female",4774,"Hispanic"
"383",44973,"22-50",28,"Male",41464,"White not Hispanic"
"384",45104,"51 +",52,"Male",51777,"Hispanic"
"385",45274,"51 +",57,"Female",42897,"White not Hispanic"
"386",45319,"51 +",76,"Male",59829,"White not Hispanic"
"387",45468,"13-17",16,"Male",3141,"Hispanic"
"388",45476,"6-12",9,"Male",2028,"Asian"
"389",45499,"13-17",14,"Female",4363,"White not Hispanic"
"390",45540,"22-50",27,"Female",37778,"Asian"
"391",45600,"6-12",8,"Male",1332,"White not Hispanic"
"392",45625,"22-50",22,"Female",36691,"Hispanic"
"393",45679,"51 +",73,"Male",53211,"Hispanic"
"394",45755,"6-12",11,"Male",1144,"Multi Race"
"395",45798,"6-12",11,"Female",1217,"White not Hispanic"
"396",45827,"51 +",89,"Female",58304,"White not Hispanic"
"397",45828,"0-5",2,"Female",1113,"White not Hispanic"
"398",45958,"51 +",73,"Male",47997,"White not Hispanic"
"399",45962,"18-21",19,"Female",10502,"White not Hispanic"
"400",46063,"13-17",13,"Male",5872,"White not Hispanic"
"401",46251,"22-50",33,"Male",27090,"White not Hispanic"
"402",46272,"22-50",32,"Female",37697,"Black"
"403",46389,"13-17",17,"Female",5040,"Hispanic"
"404",46498,"6-12",7,"Male",2415,"White not Hispanic"
"405",46628,"6-12",11,"Male",2167,"Hispanic"
"406",46637,"22-50",26,"Male",41144,"Asian"
"407",46726,"51 +",95,"Male",55187,"Hispanic"
"408",46876,"51 +",66,"Male",49056,"Black"
"409",46945,"22-50",35,"Female",32529,"White not Hispanic"
"410",46977,"13-17",16,"Female",3738,"White not Hispanic"
"411",47043,"22-50",25,"Male",38619,"Multi Race"
"412",47059,"22-50",30,"Male",44910,"Black"
"413",47217,"6-12",7,"Female",2797,"Hispanic"
"414",47236,"13-17",16,"Male",4975,"Hispanic"
"415",47553,"13-17",16,"Male",4067,"Asian"
"416",47748,"13-17",17,"Male",4918,"Black"
"417",47809,"22-50",31,"Female",47778,"Asian"
"418",47887,"6-12",9,"Male",2755,"Hispanic"
"419",47979,"22-50",22,"Male",27058,"White not Hispanic"
"420",47997,"51 +",64,"Male",57119,"White not Hispanic"
"421",48101,"13-17",15,"Female",3728,"Asian"
"422",48169,"13-17",16,"Male",4550,"White not Hispanic"
"423",48328,"51 +",81,"Female",75098,"Asian"
"424",48353,"6-12",9,"Female",2016,"Hispanic"
"425",48653,"6-12",7,"Male",1974,"Asian"
"426",48882,"18-21",21,"Male",12259,"Black"
"427",48938,"22-50",39,"Male",36576,"Black"
"428",49026,"13-17",13,"Male",2810,"Hispanic"
"429",49094,"13-17",16,"Male",3745,"Hispanic"
"430",49199,"6-12",10,"Female",2854,"Hispanic"
"431",49285,"0-5",1,"Female",1592,"Hispanic"
"432",49463,"13-17",13,"Male",4245,"White not Hispanic"
"433",49506,"13-17",16,"Male",3445,"Hispanic"
"434",49533,"18-21",18,"Male",3153,"Asian"
"435",49598,"51 +",65,"Male",52076,"Asian"
"436",49631,"6-12",10,"Male",676,"White not Hispanic"
"437",49818,"13-17",16,"Female",4696,"Hispanic"
"438",49889,"13-17",16,"Female",4949,"Black"
"439",49977,"22-50",25,"Female",44916,"White not Hispanic"
"440",50053,"18-21",18,"Female",11125,"Asian"
"441",50112,"6-12",6,"Female",4163,"Hispanic"
"442",50140,"13-17",14,"Male",4608,"Hispanic"
"443",50208,"22-50",25,"Female",41752,"White not Hispanic"
"444",50222,"18-21",19,"Female",7564,"Multi Race"
"445",50270,"22-50",25,"Male",46951,"Hispanic"
"446",50349,"13-17",16,"Female",3555,"White not Hispanic"
"447",50478,"6-12",12,"Female",3562,"Hispanic"
"448",50559,"6-12",8,"Male",2746,"Hispanic"
"449",50652,"13-17",15,"Male",3015,"White not Hispanic"
"450",50674,"18-21",20,"Male",9369,"Asian"
"451",50783,"18-21",21,"Female",8469,"Hispanic"
"452",50849,"22-50",25,"Female",48021,"Black"
"453",50913,"18-21",18,"Male",11723,"White not Hispanic"
"454",50989,"13-17",14,"Male",4219,"Hispanic"
"455",51150,"51 +",75,"Male",52147,"Hispanic"
"456",51253,"6-12",7,"Female",633,"White not Hispanic"
"457",51259,"6-12",11,"Female",1363,"Hispanic"
"458",51290,"13-17",14,"Male",3113,"Hispanic"
"459",51420,"13-17",13,"Male",3417,"White not Hispanic"
"460",51577,"6-12",7,"Male",776,"Hispanic"
"461",51635,"22-50",32,"Female",36827,"Hispanic"
"462",51712,"22-50",23,"Female",43333,"White not Hispanic"
"463",51754,"13-17",16,"Male",2054,"White not Hispanic"
"464",51954,"6-12",6,"Female",1335,"Asian"
"465",52067,"6-12",6,"Female",1790,"Black"
"466",52073,"18-21",19,"Female",10531,"Asian"
"467",52177,"6-12",12,"Female",3539,"Hispanic"
"468",52217,"18-21",19,"Male",10230,"Hispanic"
"469",52373,"22-50",27,"Female",42969,"White not Hispanic"
"470",52722,"22-50",24,"Male",48694,"White not Hispanic"
"471",52727,"22-50",30,"Male",33721,"Asian"
"472",52794,"22-50",30,"Female",42703,"White not Hispanic"
"473",52868,"22-50",30,"Male",35523,"White not Hispanic"
"474",52887,"18-21",18,"Female",8869,"Hispanic"
"475",52969,"51 +",55,"Male",49554,"White not Hispanic"
"476",53008,"13-17",16,"Female",2018,"Other"
"477",53083,"6-12",10,"Female",2455,"White not Hispanic"
"478",53225,"6-12",6,"Female",3379,"Hispanic"
"479",53288,"13-17",14,"Female",3580,"Hispanic"
"480",53339,"51 +",71,"Male",46719,"White not Hispanic"
"481",53435,"22-50",31,"Female",46437,"White not Hispanic"
"482",53658,"13-17",14,"Male",5514,"White not Hispanic"
"483",53690,"13-17",17,"Female",5228,"Hispanic"
"484",53719,"22-50",33,"Female",42265,"White not Hispanic"
"485",53903,"18-21",21,"Female",13129,"Hispanic"
"486",53996,"18-21",19,"Female",8714,"Asian"
"487",54054,"18-21",20,"Male",13248,"White not Hispanic"
"488",54067,"6-12",12,"Female",1262,"White not Hispanic"
"489",54110,"22-50",29,"Male",41013,"Asian"
"490",54223,"13-17",17,"Female",2948,"White not Hispanic"
"491",54252,"51 +",71,"Female",55428,"Asian"
