GENDER,AGE,MARSTAT,EDUCATION,ETHNICITY,SMARSTAT,SGENDER,SAGE,SEDUCATION,NUMHH,INCOME,TOTINCOME,CHARITY,FACE,FACECVLIFEPOLICIES,CASHCVLIFEPOLICIES,BORROWCVLIFEPOL,NETVALUE
1,50,1,14,1,2,2,47,16,2,34000,35000,0,0,0,0,0,0
1,50,1,17,1,2,2,49,16,2,200000,160000,3500,1500000,0,0,0,0
1,56,0,14,2,0,0,0,0,1,50000,0,0,150000,0,0,0,0
1,30,2,12,7,1,2,41,12,3,50000,0,1000,0,0,0,0,0
1,43,1,12,1,2,2,41,14,5,56000,57000,0,0,0,0,0,0
1,32,1,7,3,1,2,42,9,4,45000,45000,0,100000,0,0,0,0
0,57,0,13,1,0,0,0,0,1,2300,0,0,0,0,0,0,0
1,27,0,16,7,0,0,0,0,1,80000,0,0,0,0,0,0,0
0,64,0,13,1,0,0,0,0,1,42000,0,600,60000,10000,0,5,0
1,62,0,16,1,0,0,0,0,1,225000,0,4000,1100000,0,0,0,0
1,61,1,17,1,2,2,59,17,2,102000,357000,3400,30000,0,0,0,0
0,54,0,13,7,0,0,0,0,7,34000,0,1200,100000,0,0,0,0
1,61,1,17,2,2,2,63,16,2,1200000,21880000,191000,0,35000000,7000000,5,0
0,60,0,17,1,0,0,0,0,1,70000,0,800,75000,75000,16000,5,0
1,47,1,16,7,1,2,44,14,5,85000,85000,600,0,0,0,0,0
1,30,1,17,1,2,2,31,17,2,270000,150000,2500,1000000,1000000,4000,5,0
1,52,1,16,1,1,2,52,17,2,292000,365000,1000,1000000,0,0,0,0
1,57,1,16,1,2,2,60,0,1,85000,0,1000,0,20000,15000,5,0
1,65,0,14,1,0,0,0,0,1,13000,0,0,0,0,0,0,0
1,60,1,13,1,2,2,41,14,3,95000,100000,2000,200000,10000,600,5,0
1,43,1,17,1,2,2,40,17,6,7870000,10820000,509000,2700000,0,0,0,0
1,55,1,17,1,2,2,61,12,2,105000,106000,2300,150000,15000,8400,5,0
1,50,1,16,1,2,2,49,17,4,90000,90000,0,102000,450000,50000,5,0
1,56,0,17,1,0,0,0,0,1,12000,0,0,0,0,0,0,0
1,34,1,16,1,1,2,38,16,5,84000,85000,0,400000,0,0,0,0
1,50,1,12,1,2,2,43,15,3,93000,128000,0,500000,0,0,0,0
1,56,1,17,3,2,2,56,16,4,155000,300000,10000,900000,1000000,13000,5,0
1,39,1,14,1,1,2,47,13,2,131000,266000,10000,0,0,0,0,0
1,50,1,16,1,2,2,42,16,4,52000,94000,2000,0,100000,16000,5,0
1,45,1,14,1,1,2,43,14,6,82000,50000,0,0,200000,46000,5,0
1,26,1,12,3,2,2,26,12,4,45000,0,0,0,0,0,0,0
1,38,1,14,1,2,2,39,13,3,42000,28000,0,0,0,0,0,0
0,44,0,8,2,0,0,0,0,5,9000,0,0,0,0,0,0,0
1,58,1,17,1,2,2,57,17,2,170000,215000,2000,75000,0,0,0,0
1,42,1,13,1,2,2,40,12,4,53000,53000,500,10000,49000,5800,5,0
1,37,1,12,1,2,2,50,17,2,110000,0,700,100000,60000,30000,1,2
1,62,1,17,1,2,2,61,16,2,200000,310000,10000,1500000,0,0,0,0
0,40,0,16,1,0,0,0,0,3,42000,0,0,0,100000,150,5,0
0,44,0,12,2,0,0,0,0,1,13000,0,0,0,0,0,0,0
1,49,1,14,1,1,2,48,14,5,105000,113000,0,50000,0,0,0,0
1,56,0,14,1,0,0,0,0,1,58000,0,0,200000,0,0,0,0
1,64,1,17,1,2,2,62,16,2,240000,380000,10000,50000,30000,25000,1,3
1,46,1,12,1,2,2,42,12,4,280000,1500000,50000,0,2000000,250000,5,0
1,54,1,14,1,2,2,51,14,3,84000,86000,1000,0,0,0,0,0
1,48,1,16,1,2,2,44,14,2,58000,59000,1200,50000,4000,4000,5,0
1,52,1,16,1,1,2,58,16,3,60000,72000,1200,400000,0,0,0,0
1,48,2,10,1,1,2,42,12,4,52000,0,0,50000,0,0,0,0
1,26,1,17,1,2,2,25,17,2,25000,0,0,0,0,0,0,0
1,41,1,16,1,2,2,33,16,4,45000,49000,0,1200000,525000,5000,5,0
0,38,0,14,2,0,0,0,0,1,30000,0,0,0,0,0,0,0
0,50,0,12,2,0,0,0,0,2,16000,0,0,0,0,0,0,0
1,29,1,12,2,2,2,28,16,4,40000,0,0,100000,0,0,0,0
1,45,1,17,1,2,2,42,14,2,75000,732000,1000,0,0,0,0,0
1,23,0,16,1,0,0,0,0,1,6000,0,0,0,0,0,0,0
1,68,1,17,1,2,2,66,17,2,300000,1700000,180000,0,5000000,206000,1,3
1,26,1,16,1,1,2,22,14,3,80000,80000,0,0,0,0,0,0
1,40,1,16,1,2,2,34,14,4,91000,93000,2900,400000,0,0,0,0
1,62,1,12,2,1,2,58,14,3,37000,57000,500,0,40000,2000,5,0
1,28,1,16,1,2,2,25,14,2,27000,49000,0,40000,0,0,0,0
1,48,1,16,1,2,2,48,16,3,50000,2320000,17000,0,1500000,34000,5,0
1,33,1,15,1,2,2,31,17,4,155000,155000,4000,700000,0,0,0,0
1,52,1,17,1,2,2,51,17,2,164000,2460000,331000,0,0,0,0,0
0,46,0,12,2,0,0,0,0,2,7400,0,0,0,13000,100,5,0
1,74,1,16,1,2,2,73,14,2,2730000,10120000,9010000,0,200000,60000,5,0
1,42,1,14,1,1,2,43,16,4,102000,112000,8000,360000,0,0,0,0
0,53,2,12,2,3,1,52,0,1,530,0,0,0,0,0,0,0
1,59,1,17,1,1,2,53,17,2,30000,78000,0,180000,1000000,900,5,0
1,40,1,17,1,2,2,40,17,3,190000,250000,2000,200000,0,0,0,0
1,52,1,17,1,2,2,52,17,5,1700000,3200000,332000,0,500000,450000,5,0
1,68,0,15,1,0,0,0,0,2,110000,0,3500,0,1600000,250000,5,0
1,38,1,16,1,1,2,35,16,4,63000,46000,1400,100000,50000,10000,5,0
1,58,1,13,1,1,2,58,12,2,58000,58000,2000,26000,55000,4000,5,0
1,70,1,14,1,2,2,67,12,2,155000,216000,1600,0,400000,100000,5,0
1,50,1,17,1,2,2,52,14,4,167000,5800000,232000,0,300000,34000,5,0
1,62,2,12,2,1,2,52,12,2,41000,0,500,20000,0,0,0,0
1,45,1,16,1,2,2,42,17,7,500000,563000,8500,2000000,2000000,20000,5,0
1,24,0,14,1,0,0,0,0,3,34000,0,1000,0,130000,6300,5,0
1,31,0,11,2,0,0,0,0,1,5000,0,0,0,0,0,0,0
1,47,1,17,1,2,2,48,17,4,90000,500000,20000,2500000,150000,20000,5,0
1,48,0,13,2,0,0,0,0,1,40000,0,0,50000,0,0,0,0
1,31,0,16,1,0,0,0,0,1,90000,0,3000,0,750000,80000,5,0
1,35,0,16,1,0,0,0,0,1,43000,0,0,41000,0,0,0,0
1,47,1,12,1,2,2,43,12,5,50000,101000,12000,0,0,0,0,0
1,29,1,15,2,2,2,24,14,4,63000,60000,1200,0,0,0,0,0
1,54,1,16,1,1,2,50,12,2,90000,92000,0,110000,0,0,0,0
1,49,1,13,1,2,2,47,14,3,72000,59000,0,115000,0,0,0,0
0,57,0,16,1,0,0,0,0,1,75000000,0,250000,0,0,0,0,0
1,85,1,14,1,2,2,74,14,2,216000,0,0,0,150000,60000,5,0
0,47,0,12,3,0,0,0,0,7,13000,0,1200,0,0,0,0,0
1,43,1,12,1,1,2,41,12,5,14000,68000,4000,300000,50000,6000,5,0
1,32,1,11,1,1,2,34,12,5,18000,14000,0,0,0,0,0,0
0,43,0,13,1,0,0,0,0,4,35000,0,2000,0,175000,50000,5,0
1,49,1,14,1,2,2,44,12,2,16000,61000,500,10000,0,0,0,0
1,22,0,15,1,0,0,0,0,2,9500,0,0,0,0,0,0,0
1,37,1,16,3,2,2,35,16,4,86000,88000,1000,250000,0,0,0,0
1,31,1,12,1,2,2,30,14,3,60000,60000,0,2500000,72000,0,5,0
1,52,1,12,2,1,2,47,9,2,28000,46000,0,20000,0,0,0,0
1,41,1,11,1,2,2,40,12,2,44000,44000,0,10000,0,0,0,0
1,34,0,16,1,0,0,0,0,2,28000,0,0,7000,0,0,0,0
1,46,1,16,7,2,2,37,16,3,158000,124000,1200,634000,0,0,0,0
1,38,1,16,1,2,2,34,16,5,208000,250000,0,0,0,0,0,0
1,31,1,14,1,2,2,29,16,3,82000,91000,9800,650000,0,0,0,0
1,47,1,12,1,1,2,45,17,3,90000,78000,500,0,160000,10000,5,0
1,41,1,17,1,2,2,40,17,5,200000,104000,3500,1500000,0,0,0,0
1,53,1,16,1,2,2,53,16,4,476000,611000,10000,3000000,250000,20000,5,0
0,58,0,16,1,0,0,0,0,1,82000,0,2000,350000,0,0,0,0
1,47,1,9,3,2,2,46,6,3,45000,45000,0,100000,0,0,0,0
1,37,1,12,1,2,2,41,16,5,62000,75000,7500,1000000,0,0,0,0
1,44,1,17,1,1,2,41,16,5,320000,422000,2000,3000000,0,0,0,0
1,33,1,17,1,2,2,30,17,2,371000,372000,620,0,100000,6000,5,0
1,51,1,17,1,2,2,52,17,4,320000,3000000,75000,10000000,0,0,0,0
1,37,1,13,1,2,2,37,17,3,41000,0,0,0,0,0,0,0
1,28,1,14,1,1,2,29,12,5,50000,50000,0,0,0,0,0,0
0,48,0,17,1,0,0,0,0,2,37000,0,0,0,0,0,0,0
1,62,1,16,1,2,2,66,15,2,98000,66000,4000,300000,0,0,0,0
1,31,1,16,2,2,2,25,8,4,60000,0,0,0,0,0,0,0
1,52,1,14,1,1,2,47,12,2,113000,56000,500,250000,0,0,0,0
1,49,1,16,1,2,2,47,17,5,450000,700000,5000,0,700000,100000,5,0
1,50,1,17,1,2,2,46,17,5,10000000,20830000,245000,2000000,0,0,0,0
1,64,1,12,1,1,2,62,14,2,31000,35000,2500,0,25000,19000,5,0
1,46,1,16,1,2,2,48,16,5,120000,121000,5500,750000,75000,2000,5,0
1,65,1,12,1,2,2,62,11,2,23000,24000,500,0,0,0,0,0
0,24,0,12,1,0,0,0,0,3,13000,0,0,0,0,0,0,0
1,34,1,14,2,2,2,30,14,6,15000,0,0,0,0,0,0,0
1,29,0,13,3,0,0,0,0,2,21000,0,0,0,0,0,0,0
1,61,1,17,7,1,2,57,16,2,150000,150000,10000,500000,0,0,0,0
1,23,1,10,1,1,2,22,12,3,34000,0,0,100000,0,0,0,0
1,31,1,17,7,2,2,26,17,2,100000,51000,1000,100000,0,0,0,0
1,46,1,12,1,1,2,46,16,5,29000,58000,0,0,0,0,0,0
1,74,1,16,1,1,2,60,12,3,500000,2570000,1100,0,1000000,2900,5,0
1,47,1,16,1,1,2,51,14,4,52000,62000,0,500000,500000,550,5,0
1,51,1,13,1,1,2,50,13,2,96000,105000,1800,280000,0,0,0,0
1,21,0,15,1,0,0,0,0,5,500,0,0,0,0,0,0,0
1,51,1,16,1,1,2,38,13,4,250000,157000,0,42000,0,0,0,0
0,40,0,13,2,0,0,0,0,1,45000,0,0,0,0,0,0,0
1,38,1,17,1,1,2,39,17,4,123000,123000,1200,750000,0,0,0,0
0,27,0,12,1,0,0,0,0,1,21000,0,0,0,0,0,0,0
1,58,0,16,1,0,0,0,0,1,19000,0,0,0,0,0,0,0
1,35,1,12,1,2,2,32,16,2,28000,28000,0,10000,0,0,0,0
1,33,1,16,1,2,2,34,16,4,47000,47000,0,0,50000,130,5,0
1,33,2,12,1,1,2,35,12,6,17000,0,0,0,5000,2500,5,0
1,39,1,17,1,1,2,37,16,8,300000,300000,40000,1750000,0,0,0,0
1,47,1,17,1,2,2,47,17,3,104000,135000,5300,100000,0,0,0,0
0,24,0,16,1,0,0,0,0,1,17000,0,0,0,0,0,0,0
1,30,2,12,3,3,2,25,11,4,59000,0,0,0,0,0,0,0
1,80,1,12,1,1,2,64,12,2,72000,175000,1000,0,60000,20000,5,0
1,57,1,3,3,1,2,53,12,2,33000,45000,0,0,100000,5000,5,0
1,26,1,16,1,2,2,26,16,2,33000,35000,0,300000,100000,0,5,0
1,55,1,17,1,2,2,55,17,5,100000,264000,8100,3100000,110000,40000,5,0
1,50,1,17,7,2,2,48,17,2,1010000,664000,25000,1800000,4200000,1200000,5,0
1,40,0,8,2,0,0,0,0,1,36000,0,0,100000,0,0,0,0
0,59,0,15,1,0,0,0,0,1,40000,0,500,50000,20000,3000,5,0
1,65,1,14,1,2,2,61,12,2,79000,68000,3100,87000,0,0,0,0
1,24,1,12,1,2,2,20,12,2,26000,26000,0,0,0,0,0,0
1,41,1,3,3,1,2,42,12,5,40000,43000,0,225000,0,0,0,0
1,27,0,12,3,0,0,0,0,1,10000,0,0,0,0,0,0,0
0,22,0,16,1,0,0,0,0,1,12000,0,0,0,0,0,0,0
0,81,0,5,2,0,0,0,0,5,2600,0,0,0,0,0,0,0
1,55,1,13,1,2,2,49,12,4,82000,76000,1500,125000,0,0,0,0
1,41,1,12,1,2,2,40,14,4,96000,96000,1700,125000,0,0,0,0
0,27,0,5,3,0,0,0,0,2,12000,0,0,0,0,0,0,0
1,52,1,14,1,1,2,36,17,2,180000,94000,1000,160000,0,0,0,0
1,57,1,16,1,2,2,54,16,2,394000,397000,6100,5000,0,0,0,0
1,28,2,13,2,1,2,23,12,2,32000,0,0,0,0,0,0,0
1,48,1,17,1,2,2,35,14,6,36000,182000,0,0,1000000,30000,1,3
1,35,1,14,7,1,2,26,12,5,34000,34000,0,50000,0,0,0,0
1,56,1,12,2,2,2,55,12,2,5000,35000,0,0,0,0,0,0
1,61,1,17,1,1,2,60,16,2,145000,237000,860,250000,250000,250000,5,0
1,78,1,17,1,2,2,77,12,2,61000,249000,2500,0,0,0,0,0
1,37,2,12,1,1,2,62,14,3,47000,0,3000,5000,0,0,0,0
1,27,1,12,1,1,2,26,8,5,25000,25000,0,100000,0,0,0,0
1,66,1,14,1,2,2,63,12,2,112000,688000,0,10000,12000,12000,5,0
1,37,1,16,1,1,2,36,16,3,105000,76000,1500,0,105000,6000,5,0
1,70,1,17,1,2,2,63,16,2,53000,1700000,24000,0,4000000,3900,5,0
1,37,1,17,1,1,2,38,14,4,119000,121000,0,0,0,0,0,0
1,35,1,12,2,1,2,32,12,5,65000,0,0,20000,0,0,0,0
1,60,1,16,1,2,2,59,17,2,30000,32530000,42000,5250000,5250000,800000,5,0
1,45,1,16,1,2,2,45,16,4,185000,133000,12000,400000,0,0,0,0
0,27,0,12,1,0,0,0,0,1,11000,0,0,0,0,0,0,0
1,59,1,17,1,1,2,62,13,2,173000,173000,1000,50000,0,0,0,0
1,82,1,16,1,2,2,78,14,2,420000,1030000,69000,400000,0,0,0,0
0,59,0,15,1,0,0,0,0,1,25000,0,0,5000,0,0,0,0
1,28,1,16,1,2,2,30,14,4,38000,27000,4000,500000,0,0,0,0
1,58,1,14,1,1,2,56,12,3,76000,125000,750,0,0,0,0,0
0,61,0,12,2,0,0,0,0,2,28000,0,0,40000,0,0,0,0
1,48,1,13,2,1,2,54,15,3,80000,90000,500,0,400000,1200,5,0
1,51,1,17,1,2,2,46,16,4,250000,151000,1000,3500000,0,0,0,0
1,50,1,14,1,1,2,43,16,3,126000,116000,5000,200000,225000,17000,5,0
1,50,1,14,1,1,2,49,16,2,88000,52000,700,300000,0,0,0,0
1,52,1,16,7,1,2,51,14,5,95000,130000,690,25000,0,0,0,0
1,32,1,16,1,1,2,31,16,3,138000,95000,1000,5000000,0,0,0,0
1,30,1,12,3,1,2,33,14,3,75000,0,0,0,0,0,0,0
1,47,1,15,2,1,2,52,14,5,101000,86000,0,0,200000,10000,5,0
0,55,0,16,2,0,0,0,0,1,32000,0,0,0,50000,6500,5,0
1,46,1,16,1,2,2,44,17,4,200000,500000,10000,0,0,0,0,0
1,60,1,14,1,1,2,59,16,2,104000,102000,800,284000,150000,1000,5,0
1,27,1,11,1,1,2,26,14,4,55000,47000,1000,50000,0,0,0,0
0,67,0,14,1,0,0,0,0,3,5000,0,0,5000,0,0,0,0
0,54,0,14,1,0,0,0,0,1,83000,0,1000,0,0,0,0,0
1,21,2,14,2,1,2,20,14,2,27000,27000,0,0,0,0,0,0
1,49,1,11,1,1,2,34,6,2,47000,25000,0,0,0,0,0,0
1,70,1,17,1,1,2,71,16,2,20000,34000,0,35000,60000,60000,5,0
0,58,0,12,1,0,0,0,0,1,36000,0,0,10000,0,0,0,0
1,33,0,17,1,0,0,0,0,1,76000,0,0,247000,0,0,0,0
1,60,1,13,1,2,2,58,14,2,51000,82000,3100,52000,0,0,0,0
1,36,1,10,2,1,2,45,12,4,44000,0,0,100000,0,0,0,0
0,44,0,3,3,0,0,0,0,3,20000,0,0,0,0,0,0,0
1,66,1,13,1,2,2,63,12,2,19000,48000,0,35000,0,0,0,0
0,24,0,16,1,0,0,0,0,3,25000,0,0,0,0,0,0,0
1,61,1,17,2,2,2,57,12,5,7000,0,0,0,0,0,0,0
1,44,2,14,1,3,2,44,14,2,60000,0,0,200000,0,0,0,0
1,43,1,14,1,1,2,38,16,5,497000,6460000,34000,2100000,38000000,70000,5,0
0,37,0,13,2,0,0,0,0,3,17000,0,0,15000,0,0,0,0
1,41,0,12,1,0,0,0,0,1,18000,0,0,23000,0,0,0,0
0,62,0,17,1,0,0,0,0,1,61000,0,2800,9500,0,0,0,0
0,42,0,13,2,0,0,0,0,3,16000,0,0,0,0,0,0,0
1,65,1,12,1,1,2,48,12,3,11000,15000,0,0,0,0,0,0
0,47,0,16,1,0,0,0,0,3,34000,0,0,50000,0,0,0,0
1,24,0,12,2,0,0,0,0,1,19000,0,0,0,0,0,0,0
0,53,0,16,2,0,0,0,0,1,63000,0,500,60000,0,0,0,0
1,77,1,10,1,1,2,65,9,2,4000,25000,0,10000,0,0,0,0
1,34,0,16,2,0,0,0,0,1,21000,0,0,0,0,0,0,0
1,46,1,17,7,2,2,43,15,4,320000,366000,5000,500000,2000000,200000,5,0
1,60,1,17,1,2,2,58,14,2,60000,63000,0,0,0,0,0,0
1,37,1,16,1,2,2,37,16,2,80000,83000,0,0,0,0,0,0
1,47,1,15,2,1,2,48,17,3,100000,0,1200,30000,0,0,0,0
0,51,0,16,1,0,0,0,0,1,42000,0,0,40000,0,0,0,0
1,43,1,15,1,1,2,43,12,4,52000,71000,1000,3000,102000,3000,5,0
1,55,1,14,1,2,2,48,13,2,54000,4200000,100000,250000,0,0,0,0
1,46,1,16,1,1,2,45,16,5,60000,63000,1200,1850000,0,0,0,0
0,33,0,17,1,0,0,0,0,1,45000,0,0,0,0,0,0,0
1,69,1,12,1,1,2,67,14,2,4000,16000,2600,50000,100000,5800,5,0
0,55,0,16,1,0,0,0,0,1,27000,0,0,0,15000,1600,5,0
1,44,1,6,3,1,2,45,6,8,54000,50000,0,0,0,0,0,0
0,43,0,12,3,0,0,0,0,3,36000,0,0,0,0,0,0,0
1,38,1,16,2,2,2,40,15,6,47000,0,0,0,150000,8000,5,0
0,43,0,17,1,0,0,0,0,1,110000,0,5000,150000,0,0,0,0
1,33,2,14,3,3,2,33,9,2,30000,0,0,0,0,0,0,0
0,24,0,16,1,0,0,0,0,2,15000,0,0,50000,0,0,0,0
0,72,0,15,1,0,0,0,0,1,5200,0,1500,0,0,0,0,0
0,68,0,13,1,0,0,0,0,1,2000,0,0,0,0,0,0,0
1,38,1,17,1,2,2,34,16,5,50000,40000,2000,100000,0,0,0,0
1,62,1,17,1,2,2,59,17,2,310000,355000,2800,50000,0,0,0,0
0,45,0,17,1,0,0,0,0,1,65000,0,500,72000,0,0,0,0
0,35,0,17,1,0,0,0,0,1,54000,0,600,120000,0,0,0,0
1,50,1,12,3,1,2,52,14,3,92000,72000,800,220000,0,0,0,0
1,34,1,12,1,1,2,33,16,4,110000,84000,500,200000,0,0,0,0
1,42,1,14,1,2,2,40,12,6,254000,430000,30000,800000,100000,1000,5,0
1,42,1,7,2,1,2,49,12,2,35000,25000,2800,0,65000,5000,5,0
1,37,1,16,1,2,2,35,16,6,110000,56000,1000,1100000,0,0,0,0
1,73,1,17,1,2,2,70,17,2,55000,233000,25000,2500,260000,160000,5,0
1,79,1,16,1,2,2,65,16,2,248000,5620000,101000,0,5000000,1300000,5,0
0,46,1,16,2,2,1,47,0,1,157000,0,3600,500000,0,0,0,0
1,70,2,14,1,1,2,75,16,2,40000,0,3400,0,7000000,7000000,5,0
1,48,0,16,1,0,0,0,0,1,72000,0,0,150000,0,0,0,0
1,67,1,17,1,2,2,69,15,2,140000,167000,5000,150000,150000,150000,5,0
1,47,1,15,7,1,2,49,13,2,50000,41000,0,23000,0,0,0,0
1,60,1,12,3,2,2,58,12,2,13000,44000,0,50000,63000,7600,5,0
1,49,1,17,1,2,2,35,16,4,2750000,3990000,20000,4000000,0,0,0,0
0,48,0,16,2,0,0,0,0,2,61000,0,5000,300000,0,0,0,0
1,69,1,17,7,2,2,61,12,2,750000,5000000,20000,100000,0,0,0,0
0,72,0,12,1,0,0,0,0,1,5000,0,1400,2500,0,0,0,0
0,25,0,16,1,0,0,0,0,1,33000,0,0,25000,0,0,0,0
1,44,1,12,1,1,2,35,12,4,54000,61000,0,0,0,0,0,0
1,51,1,14,1,2,2,51,14,4,190000,370000,50000,5000000,2000000,2300,5,0
1,42,1,12,1,1,2,43,16,2,36000,80000,500,0,95000,2900,5,0
1,55,1,12,2,1,2,48,12,4,44000,45000,0,425000,0,0,0,0
1,56,1,17,1,2,2,45,15,2,42000,182000,2000,0,0,0,0,0
1,56,1,16,1,1,2,51,17,3,24000,25000,5000,0,0,0,0,0
1,54,1,16,1,2,2,54,16,2,80000,202000,2000,0,0,0,0,0
1,54,1,17,1,1,2,50,12,3,60000,46000,3000,580000,0,0,0,0
1,61,1,17,1,2,2,62,12,2,384000,73400000,929000,0,0,0,0,0
1,39,1,16,1,2,2,40,16,3,130000,120000,1000,300000,0,0,0,0
1,71,1,16,1,2,2,69,13,2,120000,100000,30000,0,0,0,0,0
1,39,1,13,1,1,2,43,14,4,66000,66000,0,335000,75000,3500,5,0
1,59,1,16,1,2,2,64,14,2,500000,500000,300000,0,25000000,62000,5,0
1,44,1,14,1,1,2,43,14,5,48000,75000,0,0,0,0,0,0
1,39,1,17,7,2,2,35,17,3,247000,136000,0,820000,0,0,0,0
1,68,1,13,1,2,2,66,10,2,4000,12000,500,10000,0,0,0,0
0,22,0,12,1,0,0,0,0,2,10000,0,0,20000,0,0,0,0
1,54,1,16,1,2,2,51,16,3,140000,103000,3500,400000,0,0,0,0
1,64,1,17,7,1,2,64,17,2,750000,565000,20000,0,0,0,0,0
1,64,1,15,1,2,2,51,15,2,250000,776000,5000,800,0,0,0,0
1,27,2,11,3,3,2,28,11,7,20000,0,0,0,0,0,0,0
1,51,1,11,1,1,2,48,12,3,52000,52000,0,0,0,0,0,0
1,49,1,3,3,1,2,47,2,5,72000,65000,0,0,0,0,0,0
1,29,1,14,1,2,2,29,16,6,25000,0,0,0,0,0,0,0
1,40,1,14,1,1,2,40,17,2,103000,78000,0,0,0,0,0,0
1,60,1,16,1,2,2,59,16,2,3800000,19900000,304000,0,20000000,5200000,5,0
1,36,0,14,1,0,0,0,0,2,26000,0,550,100000,0,0,0,0
1,60,1,6,3,2,2,51,10,4,20000,13000,0,4000,0,0,0,0
1,42,1,12,1,1,2,40,12,5,73000,73000,0,100000,0,0,0,0
1,49,1,16,1,2,2,47,16,3,950000,4120000,20000,2000000,6420000,60000,5,0
1,51,1,3,1,1,2,50,3,2,70000,50000,0,40000,120000,50000,5,0
1,58,1,12,3,2,2,48,12,2,50000,46000,0,183000,0,0,0,0
1,71,1,16,1,2,2,69,14,2,96000,2520000,100000,0,7000000,160000,5,0
1,49,1,5,3,1,2,31,5,6,9500,9500,0,0,0,0,0,0
1,61,0,12,1,0,0,0,0,1,13000,0,0,50000,0,0,0,0
1,72,1,17,1,2,2,68,16,2,9100,4730000,28000,0,0,0,0,0
1,38,1,12,1,1,2,39,12,4,49000,39000,0,500000,0,0,0,0
1,27,1,12,3,2,2,25,10,4,28000,28000,0,0,0,0,0,0
1,47,1,17,1,2,2,48,14,4,389000,331000,11000,1000000,200000,12000,5,0
1,54,1,13,1,2,2,52,14,4,85000,0,0,20000,0,0,0,0
1,59,1,17,1,2,2,58,17,2,110000,343000,5000,400000,0,0,0,0
1,52,1,17,1,2,2,48,16,5,310000,7580000,21000,3000000,1020000,46000,5,0
1,51,1,17,7,2,2,49,14,2,123000,89000,600,0,0,0,0,0
0,58,0,14,1,0,0,0,0,1,24000,0,500,20000,0,0,0,0
0,36,0,8,3,0,0,0,0,3,15000,0,0,0,0,0,0,0
1,24,0,12,1,0,0,0,0,2,40000,0,0,0,0,0,0,0
1,20,2,12,1,1,2,23,11,4,2800,0,0,0,0,0,0,0
1,38,1,17,1,1,2,38,17,2,275000,484000,1000,1000000,0,0,0,0
0,30,0,14,2,0,0,0,0,4,36000,0,0,25000,100000,10000,5,0
1,61,1,17,1,2,2,57,17,3,200000,173000,15000,1500000,50000,22000,1,3
1,50,1,17,1,1,2,46,16,3,207000,444000,3700,2000000,500000,13000,5,0
1,52,1,16,1,1,2,53,15,3,106000,106000,0,0,300000,11000,5,0
1,58,1,16,1,1,2,54,17,2,123000,123000,2000,0,10000,500,5,0
1,58,1,17,1,2,2,34,17,2,75000,2000000,27000,0,40000,0,5,0
0,50,0,12,7,0,0,0,0,1,5000,0,0,0,0,0,0,0
1,50,1,16,1,2,2,48,12,4,109000,101000,1000,0,0,0,0,0
1,59,2,12,1,3,2,78,12,2,40000,0,0,0,5000,5000,5,0
0,20,0,14,1,0,0,0,0,6,7000,0,0,0,0,0,0,0
1,55,1,17,1,2,2,37,17,4,600000,0,60000,2000000,0,0,0,0
1,60,1,12,1,1,2,57,14,2,97000,97000,0,0,0,0,0,0
